destino,zona_logistica,distancia_km,sakbe_distance_km,diff_distance_pct,costo_casetas,sakbe_costo_casetas,costo_total,sakbe_costo_total,diff_costo_pct,fuente_costos
Villagrán,LEJANA,741.66,904.86,22.0,2039.56,1951.0,5302.87,5929.67,11.8,SAKBE_INEGI
Tuxtla Gutiérrez,LEJANA,1489.3,2384.98,60.1,4095.57,6069.0,10648.49,16555.76,55.5,SAKBE_INEGI
Guanajuato,FORANEA,681.14,681.14,0.0,1873.13,1151.0,4870.15,4145.97,-14.9,SAKBE_INEGI
Tampico,FORANEA,515.14,814.2,58.1,1416.63,1492.0,3683.25,5072.04,37.7,SAKBE_INEGI
Hermosillo,LEJANA,1720.48,1714.06,-0.4,4731.32,5563.0,12301.43,13099.72,6.5,SAKBE_INEGI
Metepec,LEJANA,893.85,1184.1,32.5,2458.09,2332.21,6391.03,7538.72,18.0,SAKBE_INEGI
La Paz,LEJANA,1495.22,2005.08,34.1,4111.86,4057.0,10690.82,12873.34,20.4,SAKBE_INEGI
Guadalajara,LEJANA,802.18,899.08,12.1,2205.99,1966.0,5735.59,5919.25,3.2,SAKBE_INEGI
Zapopan,LEJANA,818.51,907.44,10.9,2250.9,1966.0,5852.35,5956.01,1.8,SAKBE_INEGI
González,FORANEA,423.94,482.19,13.7,1165.84,241.09,3031.17,2361.27,-22.1,ESTIMACION
San Buenaventura,LEJANA,939.59,1210.81,28.9,2583.87,3741.0,6718.07,9064.93,34.9,SAKBE_INEGI
Jaumave,FORANEA,370.75,349.93,-5.6,1019.56,0.0,2650.86,1538.64,-42.0,SAKBE_INEGI
Soto la Marina,FORANEA,393.98,380.49,-3.4,1083.45,0.0,2816.96,1673.01,-40.6,SAKBE_INEGI
Guerrero,FORANEA,347.91,344.12,-1.1,956.75,621.0,2487.56,2134.1,-14.2,SAKBE_INEGI
Frontera,REGIONAL,242.23,198.43,-18.1,666.13,0.0,1731.94,872.5,-49.6,SAKBE_INEGI
San Rafael,LEJANA,958.18,1261.53,31.7,2634.99,2370.92,6850.99,7917.86,15.6,SAKBE_INEGI
Tamazunchale,FORANEA,636.52,767.3,20.5,1750.43,1327.0,4551.12,4700.82,3.3,SAKBE_INEGI
San Juan de los Lagos,FORANEA,662.24,733.8,10.8,1821.16,679.64,4735.02,3906.16,-17.5,SAKBE_INEGI
Ciudad Valles,FORANEA,529.72,669.76,26.4,1456.73,1235.0,3787.5,4179.93,10.4,SAKBE_INEGI
Acayucan,LEJANA,1196.77,1719.17,43.7,3291.12,5075.0,8556.91,12634.19,47.6,SAKBE_INEGI
Candela,REGIONAL,161.33,151.65,-6.0,443.66,0.0,1153.51,666.81,-42.2,SAKBE_INEGI
Mier y Noriega,FORANEA,401.89,359.75,-10.5,1105.2,473.0,2873.51,2054.82,-28.5,SAKBE_INEGI
Aramberri,FORANEA,320.67,317.39,-1.0,881.84,473.0,2292.79,1868.56,-18.5,SAKBE_INEGI
Nava,FORANEA,423.72,417.2,-1.5,1165.23,621.0,3029.6,2455.43,-19.0,SAKBE_INEGI
