destino,lat,lon,clientes_fcarnes,macro_region,distancia_km,tiempo_horas,costo_casetas,costo_combustible,costo_total,zona_logistica,source,num_points
Aguascalientes,21.8842,-102.2858,4,BAJIO,571.61,8.2,1571.93,2515.08,4087.01,FORANEA,here_routing,4180
Puebla,32.5655,-115.3357,3,CENTRO,2094.37,29.9,5759.52,9215.23,14974.75,LEJANA,here_routing,12769
Hidalgo,25.9703,-100.4531,3,OCCIDENTE,42.01,0.6,115.53,184.84,300.37,LOCAL,here_routing,681
Gómez Palacio,25.5834,-103.4879,3,NOROESTE,344.78,4.9,948.14,1517.03,2465.18,FORANEA,here_routing,2215
Marín,25.8782,-100.0297,3,NORESTE,42.72,0.6,117.48,187.97,305.45,LOCAL,here_routing,646
Galeana,24.8206,-100.0757,3,NORESTE,234.57,3.4,645.07,1032.11,1677.18,REGIONAL,here_routing,2386
Piedras Negras,28.6907,-100.5423,2,NORESTE,394.95,5.6,1086.11,1737.78,2823.89,FORANEA,here_routing,2220
Valle Hermoso,25.6706,-97.8124,2,NORESTE,301.4,4.3,828.85,1326.16,2155.01,FORANEA,here_routing,2095
Villagrán,20.5155,-100.9968,2,BAJIO,741.66,10.6,2039.56,3263.3,5302.87,LEJANA,here_routing,5496
Tuxtla Gutiérrez,16.7457,-93.1377,1,GOLFO_SURESTE,1489.3,21.3,4095.57,6552.92,10648.49,LEJANA,here_routing,10790
Guanajuato,21.0203,-101.2574,1,BAJIO,681.14,9.7,1873.13,2997.02,4870.15,FORANEA,here_routing,5249
Tampico,22.2667,-97.8714,1,NORESTE,515.14,7.4,1416.63,2266.62,3683.25,FORANEA,here_routing,3863
Hermosillo,29.0832,-110.9766,1,FRONTERA_NORTE,1720.48,24.6,4731.32,7570.11,12301.43,LEJANA,here_routing,10903
Metepec,19.2551,-99.6036,1,CENTRO,893.85,12.8,2458.09,3932.94,6391.03,LEJANA,here_routing,7032
La Paz,24.1258,-110.3074,1,CENTRO,1495.22,21.4,4111.86,6578.97,10690.82,LEJANA,here_routing,8816
Guadalajara,20.673,-103.3383,1,OCCIDENTE,802.18,11.5,2205.99,3529.59,5735.59,LEJANA,here_routing,5573
Zapopan,20.6997,-103.4164,1,OCCIDENTE,818.51,11.7,2250.9,3601.44,5852.35,LEJANA,here_routing,5922
González,22.828,-98.4302,1,NORESTE,423.94,6.1,1165.84,1865.34,3031.17,FORANEA,here_routing,3015
San Buenaventura,19.3075,-98.8605,1,NORESTE,939.59,13.4,2583.87,4134.2,6718.07,LEJANA,here_routing,6786
Jaumave,23.4055,-99.3812,1,NORESTE,370.75,5.3,1019.56,1631.3,2650.86,FORANEA,here_routing,2966
Soto la Marina,23.7699,-98.2063,1,NORESTE,393.98,5.6,1083.45,1733.51,2816.96,FORANEA,here_routing,2831
Guerrero,28.3097,-100.378,1,FRONTERA_NORTE,347.91,5.0,956.75,1530.8,2487.56,FORANEA,here_routing,1914
Frontera,26.9324,-101.4575,1,NORESTE,242.23,3.5,666.13,1065.81,1731.94,REGIONAL,here_routing,2120
San Rafael,19.2056,-98.7657,1,GOLFO_SURESTE,958.18,13.7,2634.99,4215.99,6850.99,LEJANA,here_routing,7128
Tamazunchale,21.256,-98.7822,1,NORESTE,636.52,9.1,1750.43,2800.69,4551.12,FORANEA,here_routing,5984
San Juan de los Lagos,21.2492,-102.3287,1,OCCIDENTE,662.24,9.5,1821.16,2913.86,4735.02,FORANEA,here_routing,4769
Ciudad Valles,21.9952,-99.0103,1,NORESTE,529.72,7.6,1456.73,2330.77,3787.5,FORANEA,here_routing,4008
Acayucan,17.9498,-94.9162,1,GOLFO_SURESTE,1196.77,17.1,3291.12,5265.79,8556.91,LEJANA,here_routing,7987
Candela,26.836,-100.6669,1,NORESTE,161.33,2.3,443.66,709.85,1153.51,REGIONAL,here_routing,1187
Mier y Noriega,23.423,-100.1186,1,NORESTE,401.89,5.7,1105.2,1768.32,2873.51,FORANEA,here_routing,3234
Aramberri,24.1001,-99.8167,1,NORESTE,320.67,4.6,881.84,1410.95,2292.79,FORANEA,here_routing,3561
Nava,28.4243,-100.7647,1,NORESTE,423.72,6.1,1165.23,1864.37,3029.6,FORANEA,here_routing,2462
